,section_label,row_label,old_seat_number,seat_center_x,seat_center_y,venuesid,seatsid,unique_indicator,seat_number,seat_ind
0,101,T,7,3313,1730,1,1101T7,101T,5.0,1
11,101,H,3,3325,1910,1,1101H3,101H,6.0,1
12,101,Z,5,3373,1640,1,1101Z5,101Z,10.0,1
15,101,T,10,3277,1730,1,1101T10,101T,2.0,1
18,101,YY,10,3265,1568,1,1101YY10,101YY,1.0,1
21,101,WW,11,3313,1604,1,1101WW11,101WW,5.0,1
23,101,WW,14,3277,1604,1,1101WW14,101WW,2.0,1
26,101,K,3,3325,1874,1,1101K3,101K,6.0,1
28,101,WW,10,3325,1604,1,1101WW10,101WW,6.0,1
38,101,YY,1,3373,1568,1,1101YY1,101YY,10.0,1
39,101,D,6,3277,1982,1,1101D6,101D,2.0,1
44,101,M,9,3265,1838,1,1101M9,101M,1.0,1
48,101,X,6,3349,1676,1,1101X6,101X,8.0,1
49,101,N,2,3361,1820,1,1101N2,101N,9.0,1
52,101,P,9,3277,1802,1,1101P9,101P,2.0,1
56,101,YY,6,3313,1568,1,1101YY6,101YY,5.0,1
58,101,X,12,3277,1676,1,1101X12,101X,2.0,1
63,101,R,5,3325,1766,1,1101R5,101R,6.0,1
68,101,XX,2,3421,1586,1,1101XX2,101XX,14.0,1
72,101,S,1,3385,1748,1,1101S1,101S,11.0,1
74,101,K,6,3289,1874,1,1101K6,101K,3.0,1
77,101,R,10,3265,1766,1,1101R10,101R,1.0,1
78,101,P,5,3325,1802,1,1101P5,101P,6.0,1
86,101,V,1,3397,1712,1,1101V1,101V,12.0,1
90,101,D,2,3325,1982,1,1101D2,101D,6.0,1
99,101,Z,9,3325,1640,1,1101Z9,101Z,6.0,1
100,101,Z,13,3277,1640,1,1101Z13,101Z,2.0,1
101,101,M,5,3313,1838,1,1101M5,101M,5.0,1
102,101,H,2,3337,1910,1,1101H2,101H,7.0,1
105,101,YY,9,3277,1568,1,1101YY9,101YY,2.0,1
106,101,XX,3,3409,1586,1,1101XX3,101XX,13.0,1
107,101,K,7,3277,1874,1,1101K7,101K,2.0,1
112,101,WW,15,3265,1604,1,1101WW15,101WW,1.0,1
113,101,V,2,3385,1712,1,1101V2,101V,11.0,1
114,101,X,5,3361,1676,1,1101X5,101X,9.0,1
116,101,F,5,3289,1946,1,1101F5,101F,3.0,1
120,101,B,1,3325,2018,1,1101B1,101B,6.0,1
121,101,WW,6,3373,1604,1,1101WW6,101WW,10.0,1
133,101,P,6,3313,1802,1,1101P6,101P,5.0,1
135,101,B,2,3313,2018,1,1101B2,101B,5.0,1
136,101,Z,6,3361,1640,1,1101Z6,101Z,9.0,1
137,101,X,2,3397,1676,1,1101X2,101X,12.0,1
138,101,D,1,3337,1982,1,1101D1,101D,7.0,1
145,101,B,6,3265,2018,1,1101B6,101B,1.0,1
157,101,R,6,3313,1766,1,1101R6,101R,5.0,1
164,101,Q,1,3373,1784,1,1101Q1,101Q,10.0,1
168,101,YY,2,3361,1568,1,1101YY2,101YY,9.0,1
169,101,M,4,3325,1838,1,1101M4,101M,6.0,1
170,101,Q,2,3361,1784,1,1101Q2,101Q,9.0,1
171,101,B,5,3277,2018,1,1101B5,101B,2.0,1
177,101,Z,2,3409,1640,1,1101Z2,101Z,13.0,1
186,101,X,1,3409,1676,1,1101X1,101X,13.0,1
193,101,K,2,3337,1874,1,1101K2,101K,7.0,1
194,101,X,11,3289,1676,1,1101X11,101X,3.0,1
200,101,F,6,3277,1946,1,1101F6,101F,2.0,1
201,101,F,1,3337,1946,1,1101F1,101F,7.0,1
206,101,T,6,3325,1730,1,1101T6,101T,6.0,1
210,101,H,8,3265,1910,1,1101H8,101H,1.0,1
222,101,N,1,3373,1820,1,1101N1,101N,10.0,1
230,101,P,10,3265,1802,1,1101P10,101P,1.0,1
238,101,H,7,3277,1910,1,1101H7,101H,2.0,1
240,101,R,9,3277,1766,1,1101R9,101R,2.0,1
249,101,YY,5,3325,1568,1,1101YY5,101YY,6.0,1
250,101,D,7,3265,1982,1,1101D7,101D,1.0,1
251,101,F,2,3325,1946,1,1101F2,101F,6.0,1
253,101,Z,1,3421,1640,1,1101Z1,101Z,14.0,1
254,101,T,11,3265,1730,1,1101T11,101T,1.0,1
255,101,Z,10,3313,1640,1,1101Z10,101Z,5.0,1
257,101,M,8,3277,1838,1,1101M8,101M,2.0,1
259,101,Z,14,3265,1640,1,1101Z14,101Z,1.0,1
263,101,WW,7,3361,1604,1,1101WW7,101WW,9.0,1
264,101,S,2,3373,1748,1,1101S2,101S,10.0,1
