,seat_set,x_coords,y_coords,section,row,seatclumpid,seatclumpid2,clump_size,clump_ind
0,"('1101T11', '1101T10')","[3265, 3277]","[1730, 1730]","('101', '101')","('T', 'T')",1101T111101T102,1101T111101T102,2.0,1
1,"('1101T10', '1101T9')","[3277, 3289]","[1730, 1730]","('101', '101')","('T', 'T')",1101T101101T92,1101T101101T92,2.0,0
2,"('1101T9', '1101T8')","[3289, 3301]","[1730, 1730]","('101', '101')","('T', 'T')",1101T91101T82,1101T91101T82,2.0,0
3,"('1101T8', '1101T7')","[3301, 3313]","[1730, 1730]","('101', '101')","('T', 'T')",1101T81101T72,1101T81101T72,2.0,0
4,"('1101T7', '1101T6')","[3313, 3325]","[1730, 1730]","('101', '101')","('T', 'T')",1101T71101T62,1101T71101T62,2.0,1
5,"('1101T6', '1101T5')","[3325, 3337]","[1730, 1730]","('101', '101')","('T', 'T')",1101T61101T52,1101T61101T52,2.0,0
6,"('1101T5', '1101T4')","[3337, 3349]","[1730, 1730]","('101', '101')","('T', 'T')",1101T51101T42,1101T51101T42,2.0,0
7,"('1101T4', '1101T3')","[3349, 3361]","[1730, 1730]","('101', '101')","('T', 'T')",1101T41101T32,1101T41101T32,2.0,0
8,"('1101T3', '1101T2')","[3361, 3373]","[1730, 1730]","('101', '101')","('T', 'T')",1101T31101T22,1101T31101T22,2.0,0
9,"('1101T2', '1101T1')","[3373, 3385]","[1730, 1730]","('101', '101')","('T', 'T')",1101T21101T12,1101T21101T12,2.0,0
10,"('1101C7', '1101C6')","[3265, 3277]","[2000, 2000]","('101', '101')","('C', 'C')",1101C71101C62,1101C71101C62,2.0,0
11,"('1101C6', '1101C5')","[3277, 3289]","[2000, 2000]","('101', '101')","('C', 'C')",1101C61101C52,1101C61101C52,2.0,0
12,"('1101C5', '1101C4')","[3289, 3301]","[2000, 2000]","('101', '101')","('C', 'C')",1101C51101C42,1101C51101C42,2.0,0
13,"('1101C4', '1101C3')","[3301, 3313]","[2000, 2000]","('101', '101')","('C', 'C')",1101C41101C32,1101C41101C32,2.0,0
14,"('1101C3', '1101C2')","[3313, 3325]","[2000, 2000]","('101', '101')","('C', 'C')",1101C31101C22,1101C31101C22,2.0,0
15,"('1101C2', '1101C1')","[3325, 3337]","[2000, 2000]","('101', '101')","('C', 'C')",1101C21101C12,1101C21101C12,2.0,0
16,"('1101J8', '1101J7')","[3265, 3277]","[1892, 1892]","('101', '101')","('J', 'J')",1101J81101J72,1101J81101J72,2.0,0
17,"('1101J7', '1101J6')","[3277, 3289]","[1892, 1892]","('101', '101')","('J', 'J')",1101J71101J62,1101J71101J62,2.0,0
18,"('1101J6', '1101J5')","[3289, 3301]","[1892, 1892]","('101', '101')","('J', 'J')",1101J61101J52,1101J61101J52,2.0,0
19,"('1101J5', '1101J4')","[3301, 3313]","[1892, 1892]","('101', '101')","('J', 'J')",1101J51101J42,1101J51101J42,2.0,0
20,"('1101J4', '1101J3')","[3313, 3325]","[1892, 1892]","('101', '101')","('J', 'J')",1101J41101J32,1101J41101J32,2.0,0
21,"('1101J3', '1101J2')","[3325, 3337]","[1892, 1892]","('101', '101')","('J', 'J')",1101J31101J22,1101J31101J22,2.0,0
22,"('1101J2', '1101J1')","[3337, 3349]","[1892, 1892]","('101', '101')","('J', 'J')",1101J21101J12,1101J21101J12,2.0,0
23,"('1101WW15', '1101WW14')","[3265, 3277]","[1604, 1604]","('101', '101')","('WW', 'WW')",1101WW151101WW142,1101WW151101WW142,2.0,1
24,"('1101WW14', '1101WW13')","[3277, 3289]","[1604, 1604]","('101', '101')","('WW', 'WW')",1101WW141101WW132,1101WW141101WW132,2.0,0
25,"('1101WW13', '1101WW12')","[3289, 3301]","[1604, 1604]","('101', '101')","('WW', 'WW')",1101WW131101WW122,1101WW131101WW122,2.0,0
26,"('1101WW12', '1101WW11')","[3301, 3313]","[1604, 1604]","('101', '101')","('WW', 'WW')",1101WW121101WW112,1101WW121101WW112,2.0,0
27,"('1101WW11', '1101WW10')","[3313, 3325]","[1604, 1604]","('101', '101')","('WW', 'WW')",1101WW111101WW102,1101WW111101WW102,2.0,1
28,"('1101WW10', '1101WW9')","[3325, 3337]","[1604, 1604]","('101', '101')","('WW', 'WW')",1101WW101101WW92,1101WW101101WW92,2.0,0
29,"('1101WW9', '1101WW8')","[3337, 3349]","[1604, 1604]","('101', '101')","('WW', 'WW')",1101WW91101WW82,1101WW91101WW82,2.0,0
30,"('1101WW8', '1101WW7')","[3349, 3361]","[1604, 1604]","('101', '101')","('WW', 'WW')",1101WW81101WW72,1101WW81101WW72,2.0,0
31,"('1101WW7', '1101WW6')","[3361, 3373]","[1604, 1604]","('101', '101')","('WW', 'WW')",1101WW71101WW62,1101WW71101WW62,2.0,1
32,"('1101WW6', '1101WW5')","[3373, 3385]","[1604, 1604]","('101', '101')","('WW', 'WW')",1101WW61101WW52,1101WW61101WW52,2.0,0
33,"('1101WW5', '1101WW4')","[3385, 3397]","[1604, 1604]","('101', '101')","('WW', 'WW')",1101WW51101WW42,1101WW51101WW42,2.0,0
34,"('1101WW4', '1101WW3')","[3397, 3409]","[1604, 1604]","('101', '101')","('WW', 'WW')",1101WW41101WW32,1101WW41101WW32,2.0,0
35,"('1101WW3', '1101WW2')","[3409, 3421]","[1604, 1604]","('101', '101')","('WW', 'WW')",1101WW31101WW22,1101WW31101WW22,2.0,0
36,"('1101WW2', '1101WW1')","[3421, 3433]","[1604, 1604]","('101', '101')","('WW', 'WW')",1101WW21101WW12,1101WW21101WW12,2.0,0
37,"('1101VV14', '1101VV13')","[3265, 3277]","[1622, 1622]","('101', '101')","('VV', 'VV')",1101VV141101VV132,1101VV141101VV132,2.0,0
38,"('1101VV13', '1101VV12')","[3277, 3289]","[1622, 1622]","('101', '101')","('VV', 'VV')",1101VV131101VV122,1101VV131101VV122,2.0,0
39,"('1101VV12', '1101VV11')","[3289, 3301]","[1622, 1622]","('101', '101')","('VV', 'VV')",1101VV121101VV112,1101VV121101VV112,2.0,0
40,"('1101VV11', '1101VV10')","[3301, 3313]","[1622, 1622]","('101', '101')","('VV', 'VV')",1101VV111101VV102,1101VV111101VV102,2.0,0
41,"('1101VV10', '1101VV9')","[3313, 3325]","[1622, 1622]","('101', '101')","('VV', 'VV')",1101VV101101VV92,1101VV101101VV92,2.0,0
42,"('1101VV9', '1101VV8')","[3325, 3337]","[1622, 1622]","('101', '101')","('VV', 'VV')",1101VV91101VV82,1101VV91101VV82,2.0,0
