,section_label,row_label,old_seat_number,seat_center_x,seat_center_y,venuesid,seatsid,unique_indicator,seat_number
0,101,T,7,3313,1730,1,1101T7,101T,5.0
1,101,C,1,3337,2000,1,1101C1,101C,7.0
2,101,J,7,3277,1892,1,1101J7,101J,2.0
3,101,WW,9,3337,1604,1,1101WW9,101WW,7.0
4,101,VV,13,3277,1622,1,1101VV13,101VV,2.0
5,101,S,5,3337,1748,1,1101S5,101S,7.0
6,101,T,8,3301,1730,1,1101T8,101T,4.0
7,101,Q,5,3325,1784,1,1101Q5,101Q,6.0
8,101,J,1,3349,1892,1,1101J1,101J,8.0
9,101,Y,1,3409,1658,1,1101Y1,101Y,13.0
10,101,M,3,3337,1838,1,1101M3,101M,7.0
11,101,H,3,3325,1910,1,1101H3,101H,6.0
12,101,Z,5,3373,1640,1,1101Z5,101Z,10.0
13,101,P,8,3289,1802,1,1101P8,101P,3.0
14,101,WW,2,3421,1604,1,1101WW2,101WW,14.0
15,101,T,10,3277,1730,1,1101T10,101T,2.0
16,101,K,8,3265,1874,1,1101K8,101K,1.0
17,101,L,8,3277,1856,1,1101L8,101L,2.0
18,101,YY,10,3265,1568,1,1101YY10,101YY,1.0
19,101,C,6,3277,2000,1,1101C6,101C,2.0
20,101,R,8,3289,1766,1,1101R8,101R,3.0
21,101,WW,11,3313,1604,1,1101WW11,101WW,5.0
22,101,R,4,3337,1766,1,1101R4,101R,7.0
23,101,WW,14,3277,1604,1,1101WW14,101WW,2.0
24,101,XX,10,3325,1586,1,1101XX10,101XX,6.0
25,101,J,2,3337,1892,1,1101J2,101J,7.0
26,101,K,3,3325,1874,1,1101K3,101K,6.0
27,101,L,2,3349,1856,1,1101L2,101L,8.0
28,101,WW,10,3325,1604,1,1101WW10,101WW,6.0
29,101,L,3,3337,1856,1,1101L3,101L,7.0
30,101,W,4,3361,1694,1,1101W4,101W,9.0
31,101,VV,6,3361,1622,1,1101VV6,101VV,9.0
32,101,M,7,3289,1838,1,1101M7,101M,3.0
33,101,V,8,3313,1712,1,1101V8,101V,5.0
34,101,Y,7,3337,1658,1,1101Y7,101Y,7.0
35,101,W,1,3397,1694,1,1101W1,101W,12.0
36,101,R,7,3301,1766,1,1101R7,101R,4.0
37,101,W,12,3265,1694,1,1101W12,101W,1.0
38,101,YY,1,3373,1568,1,1101YY1,101YY,10.0
39,101,D,6,3277,1982,1,1101D6,101D,2.0
40,101,VV,8,3337,1622,1,1101VV8,101VV,7.0
41,101,VV,7,3349,1622,1,1101VV7,101VV,8.0
42,101,Q,8,3289,1784,1,1101Q8,101Q,3.0
43,101,G,6,3289,1928,1,1101G6,101G,3.0
44,101,M,9,3265,1838,1,1101M9,101M,1.0
45,101,L,9,3265,1856,1,1101L9,101L,1.0
46,101,S,8,3301,1748,1,1101S8,101S,4.0
47,101,X,4,3373,1676,1,1101X4,101X,10.0
48,101,X,6,3349,1676,1,1101X6,101X,8.0
49,101,N,2,3361,1820,1,1101N2,101N,9.0
50,101,G,7,3277,1928,1,1101G7,101G,2.0
51,101,K,4,3313,1874,1,1101K4,101K,5.0
52,101,P,9,3277,1802,1,1101P9,101P,2.0
53,101,V,12,3265,1712,1,1101V12,101V,1.0
54,101,D,3,3313,1982,1,1101D3,101D,5.0
55,101,Z,7,3349,1640,1,1101Z7,101Z,8.0
56,101,YY,6,3313,1568,1,1101YY6,101YY,5.0
57,101,Y,10,3301,1658,1,1101Y10,101Y,4.0
58,101,X,12,3277,1676,1,1101X12,101X,2.0
59,101,C,4,3301,2000,1,1101C4,101C,4.0
60,101,V,5,3349,1712,1,1101V5,101V,8.0
61,101,X,3,3385,1676,1,1101X3,101X,11.0
62,101,T,1,3385,1730,1,1101T1,101T,11.0
