section_label,row_label,seat_number,seat_center_x,seat_center_y,venuesid,seatsid
101,T,7,3313,1730,1,1-101-T-7
101,C,1,3337,2000,1,1-101-C-1
101,J,7,3277,1892,1,1-101-J-7
101,WW,9,3337,1604,1,1-101-WW-9
101,VV,13,3277,1622,1,1-101-VV-13
101,S,5,3337,1748,1,1-101-S-5
101,T,8,3301,1730,1,1-101-T-8
101,Q,5,3325,1784,1,1-101-Q-5
101,J,1,3349,1892,1,1-101-J-1
101,Y,1,3409,1658,1,1-101-Y-1
101,M,3,3337,1838,1,1-101-M-3
101,H,3,3325,1910,1,1-101-H-3
101,Z,5,3373,1640,1,1-101-Z-5
101,P,8,3289,1802,1,1-101-P-8
101,WW,2,3421,1604,1,1-101-WW-2
101,T,10,3277,1730,1,1-101-T-10
101,K,8,3265,1874,1,1-101-K-8
101,L,8,3277,1856,1,1-101-L-8
101,YY,10,3265,1568,1,1-101-YY-10
101,C,6,3277,2000,1,1-101-C-6
101,R,8,3289,1766,1,1-101-R-8
101,WW,11,3313,1604,1,1-101-WW-11
101,R,4,3337,1766,1,1-101-R-4
101,WW,14,3277,1604,1,1-101-WW-14
101,XX,10,3325,1586,1,1-101-XX-10
101,J,2,3337,1892,1,1-101-J-2
101,K,3,3325,1874,1,1-101-K-3
101,L,2,3349,1856,1,1-101-L-2
101,WW,10,3325,1604,1,1-101-WW-10
101,L,3,3337,1856,1,1-101-L-3
101,W,4,3361,1694,1,1-101-W-4
101,VV,6,3361,1622,1,1-101-VV-6
101,M,7,3289,1838,1,1-101-M-7
101,V,8,3313,1712,1,1-101-V-8
101,Y,7,3337,1658,1,1-101-Y-7
101,W,1,3397,1694,1,1-101-W-1
101,R,7,3301,1766,1,1-101-R-7
101,W,12,3265,1694,1,1-101-W-12
101,YY,1,3373,1568,1,1-101-YY-1
101,D,6,3277,1982,1,1-101-D-6
101,VV,8,3337,1622,1,1-101-VV-8
101,VV,7,3349,1622,1,1-101-VV-7
101,Q,8,3289,1784,1,1-101-Q-8
101,G,6,3289,1928,1,1-101-G-6
101,M,9,3265,1838,1,1-101-M-9
101,L,9,3265,1856,1,1-101-L-9
101,S,8,3301,1748,1,1-101-S-8
101,X,4,3373,1676,1,1-101-X-4
101,X,6,3349,1676,1,1-101-X-6
101,N,2,3361,1820,1,1-101-N-2
101,G,7,3277,1928,1,1-101-G-7
